branch,template_row_date,template_column,template_header_physical_interval,physical_date,physical_t,physical_interval,price,price_role,g0_kwh,geff_kwh,adjustment_surcharge_yuan
4-2,2025-04-28,102,16:50-17:00,2025-04-28,102,16:50-17:00,0.9626,realized,675.3793961199387,675.3793961199387,0.0
4-2,2025-04-28,103,17:00-17:10,2025-04-28,103,17:00-17:10,0.9306,realized,717.9674277089878,717.9674277089878,0.0
4-2,2025-04-28,104,17:10-17:20,2025-04-28,104,17:10-17:20,0.9439,realized,752.2312437063533,752.2312437063533,0.0
4-2,2025-04-28,105,17:20-17:30,2025-04-28,105,17:20-17:30,1.0117,realized,783.418137024898,783.418137024898,0.0
4-2,2025-04-28,106,17:30-17:40,2025-04-28,106,17:30-17:40,1.0369,realized,826.0060858429596,826.0060858429596,0.0
4-2,2025-04-28,107,17:40-17:50,2025-04-28,107,17:40-17:50,1.1113,realized,736.3928761154605,736.3928761154605,0.0
4-2,2025-04-28,108,17:50-18:00,2025-04-28,108,17:50-18:00,1.2286,realized,571.1639334601014,571.1639334601014,0.0
4-2,2025-04-28,109,18:00-18:10,2025-04-28,109,18:00-18:10,1.2697,realized,589.133969683375,589.133969683375,0.0
4-2,2025-04-28,110,18:10-18:20,2025-04-28,110,18:10-18:20,1.2529,realized,645.7918858247385,645.7918858247385,0.0
4-2,2025-04-28,111,18:20-18:30,2025-04-28,111,18:20-18:30,1.2306,realized,0.0,0.0,0.0
4-2,2025-04-28,112,18:30-18:40,2025-04-28,112,18:30-18:40,1.2421,realized,679.8167251928201,679.8167251928201,0.0
4-2,2025-04-28,113,18:40-18:50,2025-04-28,113,18:40-18:50,1.2796,realized,334.2346098364189,334.2346098364189,0.0
4-2,2025-04-28,114,18:50-19:00,2025-04-28,114,18:50-19:00,1.3113,realized,0.0,0.0,0.0
4-2,2025-04-28,115,19:00-19:10,2025-04-28,115,19:00-19:10,1.305,realized,0.0,0.0,0.0
4-2,2025-04-28,116,19:10-19:20,2025-04-28,116,19:10-19:20,1.2775,realized,0.0,0.0,0.0
4-2,2025-04-28,117,19:20-19:30,2025-04-28,117,19:20-19:30,1.2619,realized,0.0,0.0,0.0
4-2,2025-04-28,118,19:30-19:40,2025-04-28,118,19:30-19:40,1.2789,realized,0.0,0.0,0.0
4-2,2025-04-28,119,19:40-19:50,2025-04-28,119,19:40-19:50,1.287,realized,0.0,0.0,0.0
4-2,2025-04-28,120,19:50-20:00,2025-04-28,120,19:50-20:00,1.2597,realized,0.0,0.0,0.0
4-2,2025-04-28,121,20:00-20:10,2025-04-28,121,20:00-20:10,1.215,realized,0.0,0.0,0.0
4-2,2025-04-28,122,20:10-20:20,2025-04-28,122,20:10-20:20,1.221,realized,697.7054946317319,697.7054946317319,0.0
4-2,2025-04-28,123,20:20-20:30,2025-04-28,123,20:20-20:30,1.2904,realized,0.0,0.0,0.0
4-2,2025-04-28,124,20:30-20:40,2025-04-28,124,20:30-20:40,1.3403,realized,0.0,0.0,0.0
4-2,2025-04-28,125,20:40-20:50,2025-04-28,125,20:40-20:50,1.1903,realized,699.0593059618163,699.0593059618163,0.0
4-2,2025-04-28,126,20:50-21:00,2025-04-28,126,20:50-21:00,0.9573,realized,738.7173197738491,738.7173197738491,0.0
4-2,2025-04-28,127,21:00-21:10,2025-04-28,127,21:00-21:10,0.9477,realized,732.0976026318968,732.0976026318968,0.0
4-2,2025-04-28,128,21:10-21:20,2025-04-28,128,21:10-21:20,0.9552,realized,724.8750823471279,724.8750823471279,0.0
4-2,2025-04-28,129,21:20-21:30,2025-04-28,129,21:20-21:30,0.9225,realized,736.7099083707328,736.7099083707328,0.0
4-2,2025-04-28,130,21:30-21:40,2025-04-28,130,21:30-21:40,0.9647,realized,738.2537829522984,738.2537829522984,0.0
4-2,2025-04-28,131,21:40-21:50,2025-04-28,131,21:40-21:50,0.7856,realized,669.8585129199887,669.8585129199887,0.0
4-2,2025-04-28,132,21:50-22:00,2025-04-28,132,21:50-22:00,0.4659,realized,1319.2415541231794,1319.2415541231794,0.0
4-2,2025-04-28,133,22:00-22:10,2025-04-28,133,22:00-22:10,0.4162,realized,1332.2472633259035,1332.2472633259035,0.0
4-2,2025-04-28,134,22:10-22:20,2025-04-28,134,22:10-22:20,0.4452,realized,1087.4155931735427,1087.4155931735427,0.0
4-2,2025-04-28,135,22:20-22:30,2025-04-28,135,22:20-22:30,0.4109,realized,1346.2794492855496,1346.2794492855496,0.0
4-2,2025-04-28,136,22:30-22:40,2025-04-28,136,22:30-22:40,0.3713,realized,1342.5770905621248,1342.5770905621248,0.0
4-2,2025-04-28,137,22:40-22:50,2025-04-28,137,22:40-22:50,0.3652,realized,1344.5624146884786,1344.5624146884786,0.0
4-2,2025-04-28,138,22:50-23:00,2025-04-28,138,22:50-23:00,0.3921,realized,1344.116665660429,1344.116665660429,0.0
4-2,2025-04-28,139,23:00-23:10,2025-04-28,139,23:00-23:10,0.4206,realized,1373.9536606866259,1373.9536606866259,0.0
4-2,2025-04-28,140,23:10-23:20,2025-04-28,140,23:10-23:20,0.4268,realized,1365.941941267777,1365.941941267777,0.0
4-2,2025-04-28,141,23:20-23:30,2025-04-28,141,23:20-23:30,0.4167,realized,1348.6642206988113,1348.6642206988113,0.0
4-2,2025-04-28,142,23:30-23:40,2025-04-28,142,23:30-23:40,0.4168,realized,1329.1421663000312,1329.1421663000312,0.0
4-2,2025-04-28,143,23:40-23:50,2025-04-28,143,23:40-23:50,0.4269,realized,1296.3781057269325,1296.3781057269325,0.0
4-2,2025-04-28,144,23:50-0:00+1,2025-04-28,144,23:50-00:00+1,0.4437,realized,1224.707444613161,1224.707444613161,0.0
4-2,2025-04-28,145,0:00-0:10+1,2025-04-29,1,0:00-0:10,0.4591,realized,576.3051202860058,576.3051202860058,0.0
4-2,2025-04-29,2,0:10-0:20,2025-04-29,2,0:10-0:20,0.4341,realized,563.0160593140295,563.0160593140295,0.0
4-2,2025-04-29,3,0:20-0:30,2025-04-29,3,0:20-0:30,0.4065,realized,582.6385647048287,582.6385647048287,0.0
4-2,2025-04-29,4,0:30-0:40,2025-04-29,4,0:30-0:40,0.4494,realized,611.9942533881165,611.9942533881165,0.0
4-2,2025-04-29,5,0:40-0:50,2025-04-29,5,0:40-0:50,0.4436,realized,591.0227469435932,591.0227469435932,0.0
4-2,2025-04-29,6,0:50-1:00,2025-04-29,6,0:50-1:00,0.389,realized,568.3784932970598,568.3784932970598,0.0
4-2,2025-04-29,7,1:00-1:10,2025-04-29,7,1:00-1:10,0.4054,realized,604.0120540205237,604.0120540205237,0.0
4-2,2025-04-29,8,1:10-1:20,2025-04-29,8,1:10-1:20,0.4243,realized,602.089727851628,602.089727851628,0.0
4-2,2025-04-29,9,1:20-1:30,2025-04-29,9,1:20-1:30,0.4092,realized,551.1933177886341,551.1933177886341,0.0
4-2,2025-04-29,10,1:30-1:40,2025-04-29,10,1:30-1:40,0.4042,realized,576.7890766337657,576.7890766337657,0.0
4-2,2025-04-29,11,1:40-1:50,2025-04-29,11,1:40-1:50,0.4509,realized,590.9439512923351,590.9439512923351,0.0
4-2,2025-04-29,12,1:50-2:00,2025-04-29,12,1:50-2:00,0.4957,realized,541.7505405306122,541.7505405306122,0.0
4-2,2025-04-29,13,2:00-2:10,2025-04-29,13,2:00-2:10,0.4402,realized,564.4721106133469,564.4721106133469,0.0
4-2,2025-04-29,14,2:10-2:20,2025-04-29,14,2:10-2:20,0.3752,realized,565.5038284561879,565.5038284561879,0.0
4-2,2025-04-29,15,2:20-2:30,2025-04-29,15,2:20-2:30,0.3855,realized,586.0496673211999,586.0496673211999,0.0
4-2,2025-04-29,16,2:30-2:40,2025-04-29,16,2:30-2:40,0.4644,realized,589.9459906247189,589.9459906247189,0.0
4-2,2025-04-29,17,2:40-2:50,2025-04-29,17,2:40-2:50,0.4663,realized,598.3687718586141,598.3687718586141,0.0
4-2,2025-04-29,18,2:50-3:00,2025-04-29,18,2:50-3:00,0.4113,realized,633.6770113031455,633.6770113031455,0.0
4-2,2025-04-29,19,3:00-3:10,2025-04-29,19,3:00-3:10,0.4511,realized,599.8402745915905,599.8402745915905,0.0
4-2,2025-04-29,20,3:10-3:20,2025-04-29,20,3:10-3:20,0.4704,realized,597.4316030708811,597.4316030708811,0.0
4-2,2025-04-29,21,3:20-3:30,2025-04-29,21,3:20-3:30,0.4215,realized,608.2232206924726,608.2232206924726,0.0
4-2,2025-04-29,22,3:30-3:40,2025-04-29,22,3:30-3:40,0.3896,realized,610.7976912157566,610.7976912157566,0.0
4-2,2025-04-29,23,3:40-3:50,2025-04-29,23,3:40-3:50,0.441,realized,606.8638327485944,606.8638327485944,0.0
4-2,2025-04-29,24,3:50-4:00,2025-04-29,24,3:50-4:00,0.5041,realized,614.7012110439765,614.7012110439765,0.0
4-2,2025-04-29,25,4:00-4:10,2025-04-29,25,4:00-4:10,0.447,realized,588.7848906086773,588.7848906086773,0.0
4-2,2025-04-29,26,4:10-4:20,2025-04-29,26,4:10-4:20,0.4152,realized,586.6341412222066,586.6341412222066,0.0
4-2,2025-04-29,27,4:20-4:30,2025-04-29,27,4:20-4:30,0.4515,realized,610.1581367011928,610.1581367011928,0.0
4-2,2025-04-29,28,4:30-4:40,2025-04-29,28,4:30-4:40,0.4525,realized,607.7827626189419,607.7827626189419,0.0
4-2,2025-04-29,29,4:40-4:50,2025-04-29,29,4:40-4:50,0.4216,realized,587.703975713449,587.703975713449,0.0
4-2,2025-04-29,30,4:50-5:00,2025-04-29,30,4:50-5:00,0.3898,realized,0.34215574972924767,0.34215574972924767,0.0
4-2,2025-04-29,31,5:00-5:10,2025-04-29,31,5:00-5:10,0.3827,realized,592.3113926622794,592.3113926622794,0.0
4-2,2025-04-29,32,5:10-5:20,2025-04-29,32,5:10-5:20,0.4066,realized,570.7597829296653,570.7597829296653,0.0
4-2,2025-04-29,33,5:20-5:30,2025-04-29,33,5:20-5:30,0.3965,realized,559.2972789482762,559.2972789482762,0.0
4-2,2025-04-29,34,5:30-5:40,2025-04-29,34,5:30-5:40,0.3239,realized,1295.404699991174,1295.404699991174,0.0
4-2,2025-04-29,35,5:40-5:50,2025-04-29,35,5:40-5:50,0.5474,realized,559.3998063052553,559.3998063052553,0.0
4-2,2025-04-29,36,5:50-6:00,2025-04-29,36,5:50-6:00,0.9295,realized,0.0,0.0,0.0
4-2,2025-04-29,37,6:00-6:10,2025-04-29,37,6:00-6:10,0.9403,realized,0.0,0.0,0.0
4-2,2025-04-29,38,6:10-6:20,2025-04-29,38,6:10-6:20,0.841,realized,0.0,0.0,0.0
4-2,2025-04-29,39,6:20-6:30,2025-04-29,39,6:20-6:30,0.8188,realized,0.0,0.0,0.0
4-2,2025-04-29,40,6:30-6:40,2025-04-29,40,6:30-6:40,0.802,realized,0.0,0.0,0.0
4-2,2025-04-29,41,6:40-6:50,2025-04-29,41,6:40-6:50,0.796,realized,0.0,0.0,0.0
4-2,2025-04-29,42,6:50-7:00,2025-04-29,42,6:50-7:00,0.7886,realized,0.0,0.0,0.0
4-2,2025-04-29,43,7:00-7:10,2025-04-29,43,7:00-7:10,0.7473,realized,0.0,0.0,0.0
4-2,2025-04-29,44,7:10-7:20,2025-04-29,44,7:10-7:20,0.7137,realized,0.0,0.0,0.0
4-2,2025-04-29,45,7:20-7:30,2025-04-29,45,7:20-7:30,0.6731,realized,0.0,0.0,0.0
4-2,2025-04-29,46,7:30-7:40,2025-04-29,46,7:30-7:40,0.612,realized,0.0,0.0,0.0
4-2,2025-04-29,47,7:40-7:50,2025-04-29,47,7:40-7:50,0.7984,realized,0.0,0.0,0.0
4-2,2025-04-29,48,7:50-8:00,2025-04-29,48,7:50-8:00,1.1026,realized,0.0,0.0,0.0
4-2,2025-04-29,49,8:00-8:10,2025-04-29,49,8:00-8:10,1.0981,realized,0.0,0.0,0.0
4-2,2025-04-29,50,8:10-8:20,2025-04-29,50,8:10-8:20,1.0336,realized,0.0,0.0,0.0
4-2,2025-04-29,51,8:20-8:30,2025-04-29,51,8:20-8:30,1.0551,realized,0.0,0.0,0.0
4-2,2025-04-29,52,8:30-8:40,2025-04-29,52,8:30-8:40,1.0553,realized,0.0,0.0,0.0
4-2,2025-04-29,53,8:40-8:50,2025-04-29,53,8:40-8:50,1.0176,realized,0.0,0.0,0.0
4-2,2025-04-29,54,8:50-9:00,2025-04-29,54,8:50-9:00,0.9598,realized,0.0,0.0,0.0
4-2,2025-04-29,55,9:00-9:10,2025-04-29,55,9:00-9:10,0.9123,realized,0.0,0.0,0.0
4-2,2025-04-29,56,9:10-9:20,2025-04-29,56,9:10-9:20,0.9169,realized,0.0,0.0,0.0
4-2,2025-04-29,57,9:20-9:30,2025-04-29,57,9:20-9:30,0.9523,realized,0.0,0.0,0.0
4-2,2025-04-29,58,9:30-9:40,2025-04-29,58,9:30-9:40,0.946,realized,0.0,0.0,0.0
4-2,2025-04-29,59,9:40-9:50,2025-04-29,59,9:40-9:50,0.8875,realized,0.0,0.0,0.0
4-2,2025-04-29,60,9:50-10:00,2025-04-29,60,9:50-10:00,0.8389,realized,0.0,0.0,0.0
4-2,2025-04-29,61,10:00-10:10,2025-04-29,61,10:00-10:10,0.8661,realized,0.0,0.0,0.0
4-2,2025-04-29,62,10:10-10:20,2025-04-29,62,10:10-10:20,0.8353,realized,0.0,0.0,0.0
4-2,2025-04-29,63,10:20-10:30,2025-04-29,63,10:20-10:30,0.7637,realized,0.0,0.0,0.0
4-2,2025-04-29,64,10:30-10:40,2025-04-29,64,10:30-10:40,0.7771,realized,0.0,0.0,0.0
4-2,2025-04-29,65,10:40-10:50,2025-04-29,65,10:40-10:50,0.6445,realized,0.0,0.0,0.0
4-2,2025-04-29,66,10:50-11:00,2025-04-29,66,10:50-11:00,0.4128,realized,0.0,0.0,0.0
4-2,2025-04-29,67,11:00-11:10,2025-04-29,67,11:00-11:10,0.3864,realized,615.4592769853635,615.4592769853635,0.0
4-2,2025-04-29,68,11:10-11:20,2025-04-29,68,11:10-11:20,0.4297,realized,40.07765225814342,40.07765225814342,0.0
4-2,2025-04-29,69,11:20-11:30,2025-04-29,69,11:20-11:30,0.4458,realized,78.8943519713348,78.8943519713348,0.0
4-2,2025-04-29,70,11:30-11:40,2025-04-29,70,11:30-11:40,0.4706,realized,481.25454346843117,481.25454346843117,0.0
4-2,2025-04-29,71,11:40-11:50,2025-04-29,71,11:40-11:50,0.4622,realized,506.42727518984077,506.42727518984077,0.0
4-2,2025-04-29,72,11:50-12:00,2025-04-29,72,11:50-12:00,0.4227,realized,407.1937869042298,407.1937869042298,0.0
4-2,2025-04-29,73,12:00-12:10,2025-04-29,73,12:00-12:10,0.4022,realized,335.9651411088437,335.9651411088437,0.0
4-2,2025-04-29,74,12:10-12:20,2025-04-29,74,12:10-12:20,0.3817,realized,305.2350435177765,305.2350435177765,0.0
4-2,2025-04-29,75,12:20-12:30,2025-04-29,75,12:20-12:30,0.3378,realized,313.9317529786151,313.9317529786151,0.0
4-2,2025-04-29,76,12:30-12:40,2025-04-29,76,12:30-12:40,0.3089,realized,407.2609260168483,407.2609260168483,0.0
4-2,2025-04-29,77,12:40-12:50,2025-04-29,77,12:40-12:50,0.5081,realized,0.0,0.0,0.0
4-2,2025-04-29,78,12:50-13:00,2025-04-29,78,12:50-13:00,0.7993,realized,0.0,0.0,0.0
4-2,2025-04-29,79,13:00-13:10,2025-04-29,79,13:00-13:10,0.8104,realized,0.0,0.0,0.0
4-2,2025-04-29,80,13:10-13:20,2025-04-29,80,13:10-13:20,0.7828,realized,0.0,0.0,0.0
4-2,2025-04-29,81,13:20-13:30,2025-04-29,81,13:20-13:30,0.8491,realized,0.0,0.0,0.0
4-2,2025-04-29,82,13:30-13:40,2025-04-29,82,13:30-13:40,0.8909,realized,0.0,0.0,0.0
4-2,2025-04-29,83,13:40-13:50,2025-04-29,83,13:40-13:50,0.8575,realized,0.0,0.0,0.0
4-2,2025-04-29,84,13:50-14:00,2025-04-29,84,13:50-14:00,0.8141,realized,0.0,0.0,0.0
4-2,2025-04-29,85,14:00-14:10,2025-04-29,85,14:00-14:10,0.8663,realized,0.0,0.0,0.0
4-2,2025-04-29,86,14:10-14:20,2025-04-29,86,14:10-14:20,0.9031,realized,0.0,0.0,0.0
4-2,2025-04-29,87,14:20-14:30,2025-04-29,87,14:20-14:30,0.9188,realized,0.0,0.0,0.0
4-2,2025-04-29,88,14:30-14:40,2025-04-29,88,14:30-14:40,0.987,realized,0.0,0.0,0.0
4-2,2025-04-29,89,14:40-14:50,2025-04-29,89,14:40-14:50,0.873,realized,0.0,0.0,0.0
4-2,2025-04-29,90,14:50-15:00,2025-04-29,90,14:50-15:00,0.6487,realized,582.1006765278171,582.1006765278171,0.0
4-2,2025-04-29,91,15:00-15:10,2025-04-29,91,15:00-15:10,0.651,realized,252.03789334611724,252.03789334611724,0.0
4-2,2025-04-29,92,15:10-15:20,2025-04-29,92,15:10-15:20,0.7423,realized,224.34805753264573,224.34805753264573,0.0
4-2,2025-04-29,93,15:20-15:30,2025-04-29,93,15:20-15:30,0.7918,realized,255.79416661296023,255.79416661296023,0.0
4-2,2025-04-29,94,15:30-15:40,2025-04-29,94,15:30-15:40,0.8022,realized,299.9323873942359,299.9323873942359,0.0
4-2,2025-04-29,95,15:40-15:50,2025-04-29,95,15:40-15:50,0.7889,realized,312.7260474923878,312.7260474923878,0.0
4-2,2025-04-29,96,15:50-16:00,2025-04-29,96,15:50-16:00,0.774,realized,367.0128039189917,367.0128039189917,0.0
4-2,2025-04-29,97,16:00-16:10,2025-04-29,97,16:00-16:10,0.7776,realized,415.89120853615543,415.89120853615543,0.0
4-2,2025-04-29,98,16:10-16:20,2025-04-29,98,16:10-16:20,0.7941,realized,453.5084223983695,453.5084223983695,0.0
4-2,2025-04-29,99,16:20-16:30,2025-04-29,99,16:20-16:30,0.8347,realized,467.97088084169,467.97088084169,0.0
4-2,2025-04-29,100,16:30-16:40,2025-04-29,100,16:30-16:40,0.9066,realized,560.3524911140723,560.3524911140723,0.0
4-2,2025-04-29,101,16:40-16:50,2025-04-29,101,16:40-16:50,0.9153,realized,636.2488972979079,636.2488972979079,0.0
4-2,2025-04-29,102,16:50-17:00,2025-04-29,102,16:50-17:00,0.8788,realized,659.9462316758811,659.9462316758811,0.0
4-2,2025-04-29,103,17:00-17:10,2025-04-29,103,17:00-17:10,0.9105,realized,694.6879893635477,694.6879893635477,0.0
4-2,2025-04-29,104,17:10-17:20,2025-04-29,104,17:10-17:20,0.9523,realized,729.1050880168879,729.1050880168879,0.0
4-2,2025-04-29,105,17:20-17:30,2025-04-29,105,17:20-17:30,0.9643,realized,774.0411225342207,774.0411225342207,0.0
4-2,2025-04-29,106,17:30-17:40,2025-04-29,106,17:30-17:40,0.9811,realized,847.02178133436,847.02178133436,0.0
4-2,2025-04-29,107,17:40-17:50,2025-04-29,107,17:40-17:50,1.078,realized,755.6050312900478,755.6050312900478,0.0
4-2,2025-04-29,108,17:50-18:00,2025-04-29,108,17:50-18:00,1.2086,realized,571.3993565822393,571.3993565822393,0.0
4-2,2025-04-29,109,18:00-18:10,2025-04-29,109,18:00-18:10,1.2403,realized,580.0280977568457,580.0280977568457,0.0
4-2,2025-04-29,110,18:10-18:20,2025-04-29,110,18:10-18:20,1.2199,realized,646.8937044740875,646.8937044740875,0.0
4-2,2025-04-29,111,18:20-18:30,2025-04-29,111,18:20-18:30,1.2142,realized,301.7559322488569,301.7559322488569,0.0
4-2,2025-04-29,112,18:30-18:40,2025-04-29,112,18:30-18:40,1.2462,realized,672.17953952416,672.17953952416,0.0
4-2,2025-04-29,113,18:40-18:50,2025-04-29,113,18:40-18:50,1.2662,realized,0.0,0.0,0.0
4-2,2025-04-29,114,18:50-19:00,2025-04-29,114,18:50-19:00,1.2588,realized,0.0,0.0,0.0
4-2,2025-04-29,115,19:00-19:10,2025-04-29,115,19:00-19:10,1.2591,realized,0.0,0.0,0.0
4-2,2025-04-29,116,19:10-19:20,2025-04-29,116,19:10-19:20,1.2923,realized,0.0,0.0,0.0
4-2,2025-04-29,117,19:20-19:30,2025-04-29,117,19:20-19:30,1.3284,realized,0.0,0.0,0.0
4-2,2025-04-29,118,19:30-19:40,2025-04-29,118,19:30-19:40,1.3057,realized,0.0,0.0,0.0
4-2,2025-04-29,119,19:40-19:50,2025-04-29,119,19:40-19:50,1.2459,realized,0.0,0.0,0.0
4-2,2025-04-29,120,19:50-20:00,2025-04-29,120,19:50-20:00,1.2181,realized,0.0,0.0,0.0
4-2,2025-04-29,121,20:00-20:10,2025-04-29,121,20:00-20:10,1.273,realized,0.0,0.0,0.0
4-2,2025-04-29,122,20:10-20:20,2025-04-29,122,20:10-20:20,1.2898,realized,697.6307887307947,697.6307887307947,0.0
4-2,2025-04-29,123,20:20-20:30,2025-04-29,123,20:20-20:30,1.2769,realized,0.0,0.0,0.0
4-2,2025-04-29,124,20:30-20:40,2025-04-29,124,20:30-20:40,1.3236,realized,0.0,0.0,0.0
4-2,2025-04-29,125,20:40-20:50,2025-04-29,125,20:40-20:50,1.1748,realized,724.7869911523715,724.7869911523715,0.0
4-2,2025-04-29,126,20:50-21:00,2025-04-29,126,20:50-21:00,0.9153,realized,773.5381425271369,773.5381425271369,0.0
4-2,2025-04-29,127,21:00-21:10,2025-04-29,127,21:00-21:10,0.9099,realized,743.0805257972509,743.0805257972509,0.0
4-2,2025-04-29,128,21:10-21:20,2025-04-29,128,21:10-21:20,0.9444,realized,714.1504289598467,714.1504289598467,0.0
4-2,2025-04-29,129,21:20-21:30,2025-04-29,129,21:20-21:30,0.9575,realized,729.9259554753567,729.9259554753567,0.0
4-2,2025-04-29,130,21:30-21:40,2025-04-29,130,21:30-21:40,1.0542,realized,736.0718210828079,736.0718210828079,0.0
4-2,2025-04-29,131,21:40-21:50,2025-04-29,131,21:40-21:50,0.8235,realized,682.8936541372141,682.8936541372141,0.0
4-2,2025-04-29,132,21:50-22:00,2025-04-29,132,21:50-22:00,0.3936,realized,1341.7565385007088,1341.7565385007088,0.0
4-2,2025-04-29,133,22:00-22:10,2025-04-29,133,22:00-22:10,0.3481,realized,1349.0541072224269,1349.0541072224269,0.0
4-2,2025-04-29,134,22:10-22:20,2025-04-29,134,22:10-22:20,0.4197,realized,1069.0318835181797,1069.0318835181797,0.0
4-2,2025-04-29,135,22:20-22:30,2025-04-29,135,22:20-22:30,0.4151,realized,1346.7918627945505,1346.7918627945505,0.0
4-2,2025-04-29,136,22:30-22:40,2025-04-29,136,22:30-22:40,0.4209,realized,1345.9480987461172,1345.9480987461172,0.0
4-2,2025-04-29,137,22:40-22:50,2025-04-29,137,22:40-22:50,0.4638,realized,1342.229898678708,1342.229898678708,0.0
4-2,2025-04-29,138,22:50-23:00,2025-04-29,138,22:50-23:00,0.4829,realized,1340.1390330210043,1340.1390330210043,0.0
4-2,2025-04-29,139,23:00-23:10,2025-04-29,139,23:00-23:10,0.4008,realized,1349.670576724595,1349.670576724595,0.0
4-2,2025-04-29,140,23:10-23:20,2025-04-29,140,23:10-23:20,0.3468,realized,1352.2139995518287,1352.2139995518287,0.0
4-2,2025-04-29,141,23:20-23:30,2025-04-29,141,23:20-23:30,0.3772,realized,1368.5446887318813,1368.5446887318813,0.0
4-2,2025-04-29,142,23:30-23:40,2025-04-29,142,23:30-23:40,0.421,realized,1331.0997752659132,1331.0997752659132,0.0
4-2,2025-04-29,143,23:40-23:50,2025-04-29,143,23:40-23:50,0.4058,realized,1300.5305583262202,1300.5305583262202,0.0
4-2,2025-04-29,144,23:50-0:00+1,2025-04-29,144,23:50-00:00+1,0.3693,realized,1218.818057059873,1218.818057059873,0.0
4-2,2025-04-29,145,0:00-0:10+1,2025-04-30,1,0:00-0:10,0.4072,realized,565.1722064407896,565.1722064407896,0.0
4-2,2025-04-30,2,0:10-0:20,2025-04-30,2,0:10-0:20,0.4175,realized,559.255397572269,559.255397572269,0.0
4-2,2025-04-30,3,0:20-0:30,2025-04-30,3,0:20-0:30,0.39,realized,576.3541171551078,576.3541171551078,0.0
4-2,2025-04-30,4,0:30-0:40,2025-04-30,4,0:30-0:40,0.4195,realized,596.5450311819532,596.5450311819532,0.0
4-2,2025-04-30,5,0:40-0:50,2025-04-30,5,0:40-0:50,0.4523,realized,573.1938708417257,573.1938708417257,0.0
4-2,2025-04-30,6,0:50-1:00,2025-04-30,6,0:50-1:00,0.4534,realized,545.2648177367311,545.2648177367311,0.0
4-2,2025-04-30,7,1:00-1:10,2025-04-30,7,1:00-1:10,0.4449,realized,584.522200815766,584.522200815766,0.0
4-2,2025-04-30,8,1:10-1:20,2025-04-30,8,1:10-1:20,0.4469,realized,588.4753953435252,588.4753953435252,0.0
4-2,2025-04-30,9,1:20-1:30,2025-04-30,9,1:20-1:30,0.4452,realized,564.868443412836,564.868443412836,0.0
4-2,2025-04-30,10,1:30-1:40,2025-04-30,10,1:30-1:40,0.4152,realized,580.2254532916463,580.2254532916463,0.0
4-2,2025-04-30,11,1:40-1:50,2025-04-30,11,1:40-1:50,0.4166,realized,578.3316501357759,578.3316501357759,0.0
4-2,2025-04-30,12,1:50-2:00,2025-04-30,12,1:50-2:00,0.4453,realized,13.835492887340024,13.835492887340024,0.0
4-2,2025-04-30,13,2:00-2:10,2025-04-30,13,2:00-2:10,0.4372,realized,571.554718321746,571.554718321746,0.0
4-2,2025-04-30,14,2:10-2:20,2025-04-30,14,2:10-2:20,0.4268,realized,568.5640237248317,568.5640237248317,0.0
4-2,2025-04-30,15,2:20-2:30,2025-04-30,15,2:20-2:30,0.4375,realized,569.5578757256449,569.5578757256449,0.0
4-2,2025-04-30,16,2:30-2:40,2025-04-30,16,2:30-2:40,0.4504,realized,584.2349458591661,584.2349458591661,0.0
4-2,2025-04-30,17,2:40-2:50,2025-04-30,17,2:40-2:50,0.4283,realized,608.3944262429566,608.3944262429566,0.0
4-2,2025-04-30,18,2:50-3:00,2025-04-30,18,2:50-3:00,0.4044,realized,594.1316884600008,594.1316884600008,0.0
4-2,2025-04-30,19,3:00-3:10,2025-04-30,19,3:00-3:10,0.4428,realized,592.3832655757121,592.3832655757121,0.0
4-2,2025-04-30,20,3:10-3:20,2025-04-30,20,3:10-3:20,0.4379,realized,589.5213185193038,589.5213185193038,0.0
4-2,2025-04-30,21,3:20-3:30,2025-04-30,21,3:20-3:30,0.3944,realized,590.3137097318023,590.3137097318023,0.0
4-2,2025-04-30,22,3:30-3:40,2025-04-30,22,3:30-3:40,0.4205,realized,589.7987973930499,589.7987973930499,0.0
4-2,2025-04-30,23,3:40-3:50,2025-04-30,23,3:40-3:50,0.4294,realized,607.4694395112775,607.4694395112775,0.0
4-2,2025-04-30,24,3:50-4:00,2025-04-30,24,3:50-4:00,0.4106,realized,606.0406899264034,606.0406899264034,0.0
4-2,2025-04-30,25,4:00-4:10,2025-04-30,25,4:00-4:10,0.4434,realized,590.3828042215354,590.3828042215354,0.0
4-2,2025-04-30,26,4:10-4:20,2025-04-30,26,4:10-4:20,0.4648,realized,454.058336686048,454.058336686048,0.0
4-2,2025-04-30,27,4:20-4:30,2025-04-30,27,4:20-4:30,0.4505,realized,609.7701627501681,609.7701627501681,0.0
4-2,2025-04-30,28,4:30-4:40,2025-04-30,28,4:30-4:40,0.4434,realized,611.1864828996662,611.1864828996662,0.0
4-2,2025-04-30,29,4:40-4:50,2025-04-30,29,4:40-4:50,0.4472,realized,597.6597648084916,597.6597648084916,0.0
4-2,2025-04-30,30,4:50-5:00,2025-04-30,30,4:50-5:00,0.4496,realized,0.0,0.0,0.0
4-2,2025-04-30,31,5:00-5:10,2025-04-30,31,5:00-5:10,0.4376,realized,589.9381528369296,589.9381528369296,0.0
